Math Score,Reading Score,Writing Score,Placement Score,Club join year,Placement offer count
70,76,68,99,2022,3
65,65,69,85,2023,2
68,82,65,99,2018,3
90,76,68,82,2019,2
76,68,89,91,2019,3
61,83,70,90,2019,3
76,71,72,78,2022,1
74,84,69,98,2018,3
86,88,79,75,2019,1
90,77,90,99,2022,3
66,69,77,85,2023,2
76,87,78,83,2023,2
78,84,77,90,2021,3
60,72,82,99,2020,3
60,62,80,99,2019,3
76,77,74,93,2021,3
83,61,60,98,2023,3
70,70,72,78,2022,1
78,72,78,83,2019,2
72,85,89,81,2020,2
67,74,63,80,2018,2
61,81,62,92,2018,3
79,85,78,85,2021,2
63,87,65,96,2019,3
80,65,60,80,2020,2
87,82,86,98,2020,3
86,81,60,95,2019,3
72,63,70,86,2019,2
78,85,76,91,2022,3
71,67,86,95,2019,3
64,90,69,92,2018,3
80,68,81,92,2021,3
72,70,62,85,2022,2
69,79,64,89,2020,2
77,71,69,83,2018,2
72,72,77,91,2019,3
81,87,82,91,2022,3
60,60,76,87,2023,2
80,61,70,78,2020,1
81,83,88,95,2018,3
62,73,87,85,2020,2
66,83,80,79,2023,1
65,60,79,77,2022,1
71,79,71,97,2018,3
76,79,84,87,2018,2
74,86,79,86,2022,2
90,77,87,94,2018,3
76,67,86,79,2021,1
62,89,89,87,2018,2
